"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,132
2016,1,1,146
2017,1,1,251
2018,1,1,237
2019,1,1,187
2020,1,1,126
2021,1,1,72
2022,1,1,54
2015,2,1,123
2016,2,1,164
2017,2,1,191
2018,2,1,199
2019,2,1,153
2020,2,1,116
2021,2,1,75
2022,2,1,71
2015,3,1,143
2016,3,1,194
2017,3,1,207
2018,3,1,240
2019,3,1,157
2020,3,1,138
2021,3,1,59
2022,3,1,93
2015,4,1,138
2016,4,1,208
2017,4,1,214
2018,4,1,262
2019,4,1,142
2020,4,1,86
2021,4,1,57
2022,4,1,76
2015,5,1,147
2016,5,1,187
2017,5,1,222
2018,5,1,225
2019,5,1,146
2020,5,1,83
2021,5,1,76
2022,5,1,56
2015,6,1,107
2016,6,1,178
2017,6,1,225
2018,6,1,202
2019,6,1,121
2020,6,1,79
2021,6,1,60
2022,6,1,53
2015,7,1,111
2016,7,1,239
2017,7,1,229
2018,7,1,222
2019,7,1,98
2020,7,1,77
2021,7,1,71
2015,8,1,112
2016,8,1,263
2017,8,1,281
2018,8,1,213
2019,8,1,93
2020,8,1,88
2021,8,1,57
2015,9,1,146
2016,9,1,220
2017,9,1,253
2018,9,1,160
2019,9,1,105
2020,9,1,79
2021,9,1,64
2015,10,1,121
2016,10,1,293
2017,10,1,276
2018,10,1,221
2019,10,1,100
2020,10,1,78
2021,10,1,63
2015,11,1,174
2016,11,1,235
2017,11,1,257
2018,11,1,177
2019,11,1,165
2020,11,1,78
2021,11,1,62
2015,12,1,187
2016,12,1,274
2017,12,1,232
2018,12,1,165
2019,12,1,175
2020,12,1,78
2021,12,1,62
2015,1,2,1056
2016,1,2,1405
2017,1,2,1971
2018,1,2,1681
2019,1,2,1314
2020,1,2,1095
2021,1,2,824
2022,1,2,1046
2015,2,2,941
2016,2,2,1287
2017,2,2,1798
2018,2,2,1427
2019,2,2,1107
2020,2,2,902
2021,2,2,827
2022,2,2,941
2015,3,2,1022
2016,3,2,1192
2017,3,2,1824
2018,3,2,1450
2019,3,2,1166
2020,3,2,988
2021,3,2,855
2022,3,2,1039
2015,4,2,1056
2016,4,2,1185
2017,4,2,1796
2018,4,2,1364
2019,4,2,1154
2020,4,2,665
2021,4,2,889
2022,4,2,950
2015,5,2,1107
2016,5,2,1230
2017,5,2,1826
2018,5,2,1297
2019,5,2,1117
2020,5,2,649
2021,5,2,874
2022,5,2,992
2015,6,2,1187
2016,6,2,1172
2017,6,2,1496
2018,6,2,1117
2019,6,2,1133
2020,6,2,691
2021,6,2,948
2022,6,2,928
2015,7,2,1224
2016,7,2,1277
2017,7,2,1636
2018,7,2,1124
2019,7,2,1109
2020,7,2,764
2021,7,2,924
2015,8,2,1139
2016,8,2,1391
2017,8,2,1609
2018,8,2,1182
2019,8,2,1113
2020,8,2,740
2021,8,2,903
2015,9,2,1241
2016,9,2,1463
2017,9,2,1453
2018,9,2,1149
2019,9,2,1004
2020,9,2,758
2021,9,2,872
2015,10,2,1393
2016,10,2,1482
2017,10,2,1392
2018,10,2,1131
2019,10,2,1041
2020,10,2,813
2021,10,2,931
2015,11,2,1420
2016,11,2,1555
2017,11,2,1356
2018,11,2,1236
2019,11,2,1039
2020,11,2,877
2021,11,2,960
2015,12,2,1352
2016,12,2,1989
2017,12,2,1575
2018,12,2,1267
2019,12,2,1115
2020,12,2,861
2021,12,2,1068
2015,1,3,103
2016,1,3,137
2017,1,3,139
2018,1,3,141
2019,1,3,90
2020,1,3,67
2021,1,3,46
2022,1,3,39
2015,2,3,105
2016,2,3,182
2017,2,3,91
2018,2,3,113
2019,2,3,63
2020,2,3,60
2021,2,3,37
2022,2,3,33
2015,3,3,103
2016,3,3,143
2017,3,3,104
2018,3,3,124
2019,3,3,80
2020,3,3,46
2021,3,3,42
2022,3,3,47
2015,4,3,77
2016,4,3,95
2017,4,3,108
2018,4,3,102
2019,4,3,60
2020,4,3,26
2021,4,3,25
2022,4,3,42
2015,5,3,93
2016,5,3,135
2017,5,3,132
2018,5,3,144
2019,5,3,33
2020,5,3,35
2021,5,3,25
2022,5,3,30
2015,6,3,80
2016,6,3,131
2017,6,3,125
2018,6,3,93
2019,6,3,63
2020,6,3,59
2021,6,3,38
2022,6,3,38
2015,7,3,91
2016,7,3,156
2017,7,3,103
2018,7,3,84
2019,7,3,50
2020,7,3,42
2021,7,3,18
2015,8,3,96
2016,8,3,152
2017,8,3,101
2018,8,3,57
2019,8,3,38
2020,8,3,43
2021,8,3,40
2015,9,3,119
2016,9,3,167
2017,9,3,92
2018,9,3,75
2019,9,3,75
2020,9,3,45
2021,9,3,26
2015,10,3,95
2016,10,3,113
2017,10,3,141
2018,10,3,101
2019,10,3,84
2020,10,3,57
2021,10,3,31
2015,11,3,94
2016,11,3,140
2017,11,3,128
2018,11,3,88
2019,11,3,53
2020,11,3,54
2021,11,3,34
2015,12,3,101
2016,12,3,195
2017,12,3,148
2018,12,3,111
2019,12,3,72
2020,12,3,60
2021,12,3,40
2015,1,4,1
2016,1,4,6
2017,1,4,15
2018,1,4,15
2019,1,4,12
2020,1,4,14
2021,1,4,5
2022,1,4,7
2015,2,4,5
2016,2,4,8
2017,2,4,15
2018,2,4,11
2019,2,4,17
2020,2,4,6
2021,2,4,3
2022,2,4,3
2015,3,4,2
2016,3,4,17
2017,3,4,13
2018,3,4,6
2019,3,4,10
2020,3,4,10
2021,3,4,7
2022,3,4,19
2015,4,4,2
2016,4,4,18
2017,4,4,10
2018,4,4,11
2019,4,4,13
2020,4,4,10
2021,4,4,9
2022,4,4,16
2015,5,4,2
2016,5,4,16
2017,5,4,12
2018,5,4,9
2019,5,4,15
2020,5,4,11
2021,5,4,6
2022,5,4,4
2015,6,4,13
2016,6,4,28
2017,6,4,20
2018,6,4,9
2019,6,4,11
2020,6,4,4
2021,6,4,10
2022,6,4,11
2015,7,4,8
2016,7,4,27
2017,7,4,13
2018,7,4,11
2019,7,4,14
2020,7,4,4
2021,7,4,4
2015,8,4,2
2016,8,4,17
2017,8,4,17
2018,8,4,10
2019,8,4,10
2020,8,4,6
2021,8,4,6
2015,9,4,10
2016,9,4,18
2017,9,4,13
2018,9,4,11
2019,9,4,10
2020,9,4,8
2021,9,4,9
2015,10,4,9
2016,10,4,18
2017,10,4,14
2018,10,4,10
2019,10,4,17
2020,10,4,13
2021,10,4,5
2015,11,4,9
2016,11,4,12
2017,11,4,10
2018,11,4,8
2019,11,4,9
2020,11,4,11
2021,11,4,10
2015,12,4,10
2016,12,4,11
2017,12,4,7
2018,12,4,9
2019,12,4,15
2020,12,4,3
2021,12,4,2
2015,1,5,191
2016,1,5,76
2017,1,5,118
2018,1,5,49
2019,1,5,31
2020,1,5,41
2021,1,5,32
2022,1,5,35
2015,2,5,122
2016,2,5,60
2017,2,5,78
2018,2,5,86
2019,2,5,47
2020,2,5,42
2021,2,5,40
2022,2,5,41
2015,3,5,103
2016,3,5,57
2017,3,5,72
2018,3,5,91
2019,3,5,130
2020,3,5,54
2021,3,5,37
2022,3,5,47
2015,4,5,169
2016,4,5,89
2017,4,5,54
2018,4,5,73
2019,4,5,67
2020,4,5,44
2021,4,5,47
2022,4,5,26
2015,5,5,103
2016,5,5,53
2017,5,5,52
2018,5,5,103
2019,5,5,93
2020,5,5,40
2021,5,5,42
2022,5,5,48
2015,6,5,106
2016,6,5,63
2017,6,5,92
2018,6,5,72
2019,6,5,68
2020,6,5,53
2021,6,5,32
2022,6,5,41
2015,7,5,166
2016,7,5,50
2017,7,5,71
2018,7,5,49
2019,7,5,62
2020,7,5,54
2021,7,5,43
2015,8,5,132
2016,8,5,64
2017,8,5,77
2018,8,5,61
2019,8,5,51
2020,8,5,46
2021,8,5,30
2015,9,5,129
2016,9,5,86
2017,9,5,63
2018,9,5,38
2019,9,5,50
2020,9,5,48
2021,9,5,46
2015,10,5,95
2016,10,5,113
2017,10,5,63
2018,10,5,40
2019,10,5,53
2020,10,5,47
2021,10,5,49
2015,11,5,75
2016,11,5,78
2017,11,5,71
2018,11,5,44
2019,11,5,40
2020,11,5,33
2021,11,5,28
2015,12,5,60
2016,12,5,126
2017,12,5,78
2018,12,5,38
2019,12,5,37
2020,12,5,30
2021,12,5,46
2015,1,6,60
2016,1,6,47
2017,1,6,122
2018,1,6,60
2019,1,6,41
2020,1,6,64
2021,1,6,40
2022,1,6,83
2015,2,6,53
2016,2,6,47
2017,2,6,70
2018,2,6,85
