"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,7
2016,1,1,0
2017,1,1,5
2018,1,1,9
2019,1,1,9
2020,1,1,5
2021,1,1,3
2022,1,1,6
2015,2,1,1
2016,2,1,4
2017,2,1,2
2018,2,1,7
2019,2,1,9
2020,2,1,11
2021,2,1,6
2022,2,1,4
2015,3,1,4
2016,3,1,7
2017,3,1,4
2018,3,1,5
2019,3,1,10
2020,3,1,8
2021,3,1,7
2022,3,1,5
2015,4,1,4
2016,4,1,6
2017,4,1,6
2018,4,1,8
2019,4,1,6
2020,4,1,4
2021,4,1,8
2022,4,1,2
2015,5,1,4
2016,5,1,5
2017,5,1,10
2018,5,1,9
2019,5,1,10
2020,5,1,11
2021,5,1,7
2022,5,1,4
2015,6,1,4
2016,6,1,3
2017,6,1,13
2018,6,1,6
2019,6,1,8
2020,6,1,8
2021,6,1,8
2022,6,1,8
2015,7,1,3
2016,7,1,1
2017,7,1,3
2018,7,1,5
2019,7,1,6
2020,7,1,12
2021,7,1,7
2015,8,1,3
2016,8,1,2
2017,8,1,10
2018,8,1,5
2019,8,1,2
2020,8,1,6
2021,8,1,11
2015,9,1,4
2016,9,1,4
2017,9,1,10
2018,9,1,11
2019,9,1,11
2020,9,1,3
2021,9,1,4
2015,10,1,2
2016,10,1,4
2017,10,1,9
2018,10,1,3
2019,10,1,15
2020,10,1,4
2021,10,1,12
2015,11,1,3
2016,11,1,2
2017,11,1,5
2018,11,1,5
2019,11,1,8
2020,11,1,7
2021,11,1,3
2015,12,1,2
2016,12,1,4
2017,12,1,6
2018,12,1,4
2019,12,1,8
2020,12,1,2
2021,12,1,9
2015,1,2,52
2016,1,2,100
2017,1,2,139
2018,1,2,240
2019,1,2,262
2020,1,2,209
2021,1,2,292
2022,1,2,222
2015,2,2,59
2016,2,2,80
2017,2,2,137
2018,2,2,215
2019,2,2,195
2020,2,2,186
2021,2,2,246
2022,2,2,165
2015,3,2,59
2016,3,2,91
2017,3,2,171
2018,3,2,230
2019,3,2,192
2020,3,2,245
2021,3,2,278
2022,3,2,207
2015,4,2,67
2016,4,2,80
2017,4,2,154
2018,4,2,269
2019,4,2,218
2020,4,2,254
2021,4,2,261
2022,4,2,215
2015,5,2,82
2016,5,2,106
2017,5,2,197
2018,5,2,269
2019,5,2,251
2020,5,2,268
2021,5,2,284
2022,5,2,234
2015,6,2,83
2016,6,2,82
2017,6,2,213
2018,6,2,246
2019,6,2,275
2020,6,2,223
2021,6,2,263
2022,6,2,257
2015,7,2,79
2016,7,2,110
2017,7,2,189
2018,7,2,300
2019,7,2,292
2020,7,2,270
2021,7,2,297
2015,8,2,89
2016,8,2,83
2017,8,2,211
2018,8,2,273
2019,8,2,274
2020,8,2,280
2021,8,2,264
2015,9,2,93
2016,9,2,137
2017,9,2,266
2018,9,2,265
2019,9,2,238
2020,9,2,264
2021,9,2,208
2015,10,2,78
2016,10,2,105
2017,10,2,232
2018,10,2,274
2019,10,2,238
2020,10,2,228
2021,10,2,198
2015,11,2,85
2016,11,2,127
2017,11,2,200
2018,11,2,285
2019,11,2,231
2020,11,2,254
2021,11,2,220
2015,12,2,73
2016,12,2,143
2017,12,2,203
2018,12,2,266
2019,12,2,199
2020,12,2,257
2021,12,2,212
2015,1,3,17
2016,1,3,9
2017,1,3,61
2018,1,3,45
2019,1,3,14
2020,1,3,8
2021,1,3,7
2022,1,3,4
2015,2,3,13
2016,2,3,4
2017,2,3,56
2018,2,3,18
2019,2,3,5
2020,2,3,2
2021,2,3,1
2022,2,3,3
2015,3,3,8
2016,3,3,6
2017,3,3,79
2018,3,3,26
2019,3,3,14
2020,3,3,2
2021,3,3,7
2022,3,3,3
2015,4,3,18
2016,4,3,12
2017,4,3,14
2018,4,3,15
2019,4,3,9
2020,4,3,3
2021,4,3,6
2022,4,3,18
2015,5,3,22
2016,5,3,12
2017,5,3,37
2018,5,3,15
