"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,2
2016,1,1,2
2017,1,1,13
2018,1,1,16
2019,1,1,12
2020,1,1,11
2021,1,1,8
2022,1,1,3
2015,2,1,4
2016,2,1,4
2017,2,1,10
2018,2,1,9
2019,2,1,11
2020,2,1,8
2021,2,1,5
2022,2,1,8
2015,3,1,1
2016,3,1,7
2017,3,1,2
2018,3,1,7
2019,3,1,10
2020,3,1,12
2021,3,1,9
2022,3,1,5
2015,4,1,5
2016,4,1,8
2017,4,1,2
2018,4,1,18
2019,4,1,14
2020,4,1,9
2021,4,1,6
2022,4,1,9
2015,5,1,7
2016,5,1,8
2017,5,1,3
2018,5,1,12
2019,5,1,8
2020,5,1,10
2021,5,1,8
2022,5,1,10
2015,6,1,2
2016,6,1,8
2017,6,1,14
2018,6,1,8
2019,6,1,11
2020,6,1,9
2021,6,1,9
2022,6,1,9
2015,7,1,1
2016,7,1,4
2017,7,1,6
2018,7,1,12
2019,7,1,12
2020,7,1,8
2021,7,1,4
2015,8,1,3
2016,8,1,5
2017,8,1,16
2018,8,1,11
2019,8,1,5
2020,8,1,6
2021,8,1,4
2015,9,1,2
2016,9,1,7
2017,9,1,21
2018,9,1,9
2019,9,1,6
2020,9,1,12
2021,9,1,8
2015,10,1,6
2016,10,1,2
2017,10,1,10
2018,10,1,9
2019,10,1,12
2020,10,1,5
2021,10,1,9
2015,11,1,4
2016,11,1,2
2017,11,1,12
2018,11,1,18
2019,11,1,9
2020,11,1,7
2021,11,1,8
2015,12,1,2
2016,12,1,13
2017,12,1,12
2018,12,1,9
2019,12,1,6
2020,12,1,7
2021,12,1,10
2015,1,2,7
2016,1,2,18
2017,1,2,19
2018,1,2,7
2019,1,2,19
2020,1,2,16
2021,1,2,7
2022,1,2,10
2015,2,2,19
2016,2,2,20
2017,2,2,22
2018,2,2,10
2019,2,2,11
2020,2,2,14
2021,2,2,8
2022,2,2,13
2015,3,2,24
2016,3,2,17
2017,3,2,16
2018,3,2,10
2019,3,2,15
2020,3,2,17
2021,3,2,17
2022,3,2,18
2015,4,2,10
2016,4,2,21
2017,4,2,11
2018,4,2,17
2019,4,2,8
2020,4,2,5
2021,4,2,19
2022,4,2,11
2015,5,2,17
2016,5,2,5
2017,5,2,15
2018,5,2,9
2019,5,2,18
2020,5,2,3
2021,5,2,20
2022,5,2,12
2015,6,2,16
2016,6,2,9
2017,6,2,19
2018,6,2,15
2019,6,2,19
2020,6,2,10
2021,6,2,12
2022,6,2,9
2015,7,2,19
2016,7,2,20
2017,7,2,8
2018,7,2,8
2019,7,2,28
2020,7,2,12
2021,7,2,14
2015,8,2,19
2016,8,2,9
2017,8,2,25
2018,8,2,17
2019,8,2,22
2020,8,2,8
2021,8,2,18
2015,9,2,27
2016,9,2,9
2017,9,2,21
2018,9,2,15
2019,9,2,22
2020,9,2,10
2021,9,2,14
2015,10,2,20
2016,10,2,18
2017,10,2,19
2018,10,2,9
2019,10,2,18
2020,10,2,14
2021,10,2,9
2015,11,2,17
2016,11,2,14
2017,11,2,8
2018,11,2,12
2019,11,2,18
2020,11,2,11
2021,11,2,16
2015,12,2,26
2016,12,2,15
2017,12,2,15
2018,12,2,6
2019,12,2,20
2020,12,2,7
2021,12,2,14
2015,1,3,3
2016,1,3,12
2017,1,3,27
2018,1,3,9
2019,1,3,36
2020,1,3,16
2021,1,3,5
2022,1,3,13
2015,2,3,3
2016,2,3,11
2017,2,3,31
2018,2,3,18
2019,2,3,23
2020,2,3,7
2021,2,3,8
2022,2,3,8
2015,3,3,4
2016,3,3,10
2017,3,3,22
2018,3,3,10
2019,3,3,15
2020,3,3,8
2021,3,3,6
2022,3,3,11
2015,4,3,7
2016,4,3,10
2017,4,3,18
2018,4,3,10
2019,4,3,17
2020,4,3,7
2021,4,3,10
2022,4,3,8
2015,5,3,10
2016,5,3,17
2017,5,3,35
2018,5,3,22
2019,5,3,7
2020,5,3,3
2021,5,3,5
2022,5,3,14
2015,6,3,5
2016,6,3,25
2017,6,3,27
2018,6,3,19
2019,6,3,10
2020,6,3,4
2021,6,3,4
2022,6,3,17
2015,7,3,0
2016,7,3,3
2017,7,3,12
2018,7,3,10
2019,7,3,21
2020,7,3,9
2021,7,3,10
2015,8,3,3
2016,8,3,10
2017,8,3,16
2018,8,3,8
2019,8,3,12
2020,8,3,2
2021,8,3,7
2015,9,3,4
2016,9,3,3
2017,9,3,2
2018,9,3,9
2019,9,3,14
2020,9,3,9
2021,9,3,7
2015,10,3,0
2016,10,3,17
2017,10,3,10
2018,10,3,17
2019,10,3,11
2020,10,3,8
2021,10,3,6
2015,11,3,6
2016,11,3,7
2017,11,3,12
2018,11,3,32
2019,11,3,6
2020,11,3,7
2021,11,3,17
2015,12,3,4
2016,12,3,14
2017,12,3,15
2018,12,3,34
2019,12,3,13
2020,12,3,9
2021,12,3,14
2015,1,4,2
2016,1,4,2
2017,1,4,2
2018,1,4,2
2019,1,4,1
2020,1,4,1
2021,1,4,0
2022,1,4,5
2015,2,4,0
2016,2,4,2
2017,2,4,5
2018,2,4,2
2019,2,4,0
2020,2,4,0
2021,2,4,1
2022,2,4,9
2015,3,4,0
2016,3,4,2
2017,3,4,1
2018,3,4,3
2019,3,4,3
2020,3,4,5
2021,3,4,3
2022,3,4,6
2015,4,4,2
2016,4,4,1
2017,4,4,3
2018,4,4,1
2019,4,4,5
2020,4,4,0
2021,4,4,2
2022,4,4,12
2015,5,4,3
2016,5,4,2
2017,5,4,1
2018,5,4,1
2019,5,4,2
2020,5,4,1
2021,5,4,1
2022,5,4,3
2015,6,4,3
2016,6,4,1
2017,6,4,2
2018,6,4,2
2019,6,4,2
2020,6,4,0
2021,6,4,1
2022,6,4,4
2015,7,4,3
2016,7,4,0
2017,7,4,0
2018,7,4,0
2019,7,4,4
2020,7,4,0
2021,7,4,0
