"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,6
2016,1,1,0
2017,1,1,5
2018,1,1,9
2019,1,1,9
2020,1,1,4
2021,1,1,3
2022,1,1,6
2015,2,1,1
2016,2,1,3
2017,2,1,2
2018,2,1,7
2019,2,1,7
2020,2,1,9
2021,2,1,5
2022,2,1,3
2015,3,1,4
2016,3,1,7
2017,3,1,4
2018,3,1,5
2019,3,1,9
2020,3,1,7
2021,3,1,6
2022,3,1,5
2015,4,1,4
2016,4,1,5
2017,4,1,6
2018,4,1,8
2019,4,1,6
2020,4,1,4
2021,4,1,5
2022,4,1,2
2015,5,1,4
2016,5,1,5
2017,5,1,10
2018,5,1,9
2019,5,1,10
2020,5,1,11
2021,5,1,7
2022,5,1,4
2015,6,1,4
2016,6,1,3
2017,6,1,12
2018,6,1,6
2019,6,1,6
2020,6,1,8
2021,6,1,7
2022,6,1,8
2015,7,1,2
2016,7,1,1
2017,7,1,3
2018,7,1,4
2019,7,1,5
2020,7,1,10
2021,7,1,6
2015,8,1,3
2016,8,1,2
2017,8,1,10
2018,8,1,5
2019,8,1,2
2020,8,1,6
2021,8,1,9
2015,9,1,4
2016,9,1,4
2017,9,1,10
2018,9,1,10
2019,9,1,11
2020,9,1,2
2021,9,1,4
2015,10,1,2
2016,10,1,4
2017,10,1,9
2018,10,1,3
2019,10,1,11
2020,10,1,4
2021,10,1,12
2015,11,1,2
2016,11,1,2
2017,11,1,5
2018,11,1,5
2019,11,1,7
2020,11,1,5
2021,11,1,2
2015,12,1,2
2016,12,1,3
2017,12,1,6
2018,12,1,4
2019,12,1,8
2020,12,1,2
2021,12,1,9
2015,1,2,49
2016,1,2,87
2017,1,2,129
2018,1,2,212
2019,1,2,234
2020,1,2,193
2021,1,2,243
2022,1,2,200
2015,2,2,56
2016,2,2,71
2017,2,2,125
2018,2,2,183
2019,2,2,184
2020,2,2,170
2021,2,2,217
2022,2,2,150
2015,3,2,56
2016,3,2,88
2017,3,2,151
2018,3,2,208
2019,3,2,181
2020,3,2,225
2021,3,2,239
2022,3,2,188
2015,4,2,60
2016,4,2,75
2017,4,2,146
2018,4,2,240
2019,4,2,194
2020,4,2,220
2021,4,2,236
2022,4,2,194
2015,5,2,75
2016,5,2,98
2017,5,2,185
2018,5,2,239
2019,5,2,231
2020,5,2,240
2021,5,2,252
2022,5,2,212
2015,6,2,76
2016,6,2,81
2017,6,2,186
2018,6,2,220
2019,6,2,241
2020,6,2,197
2021,6,2,241
2022,6,2,229
2015,7,2,72
2016,7,2,104
2017,7,2,174
2018,7,2,272
2019,7,2,260
2020,7,2,245
2021,7,2,253
2015,8,2,77
2016,8,2,81
2017,8,2,197
2018,8,2,242
2019,8,2,248
2020,8,2,250
2021,8,2,235
2015,9,2,86
2016,9,2,126
2017,9,2,230
2018,9,2,239
2019,9,2,213
2020,9,2,228
2021,9,2,195
2015,10,2,68
2016,10,2,100
2017,10,2,206
2018,10,2,255
2019,10,2,218
2020,10,2,206
2021,10,2,176
2015,11,2,78
2016,11,2,124
2017,11,2,178
2018,11,2,253
2019,11,2,217
2020,11,2,225
2021,11,2,195
2015,12,2,68
2016,12,2,133
2017,12,2,177
2018,12,2,235
2019,12,2,185
2020,12,2,229
2021,12,2,182
2015,1,3,17
2016,1,3,9
2017,1,3,47
2018,1,3,35
2019,1,3,13
2020,1,3,6
2021,1,3,6
2022,1,3,4
2015,2,3,7
2016,2,3,4
2017,2,3,45
2018,2,3,18
2019,2,3,5
2020,2,3,2
2021,2,3,1
2022,2,3,3
2015,3,3,8
2016,3,3,6
2017,3,3,62
