"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,432,121347800,0.356001509710106
2015,0,6,523,121347800,0.430992568468485
2015,0,12,472,121347800,0.388964612461042
2015,0,3,500,121347800,0.412038784386697
2015,0,7,527,121347800,0.434288878743578
2015,0,5,529,121347800,0.435937033881125
2015,0,4,546,121347800,0.449946352550273
2015,0,2,546,121347800,0.449946352550273
2015,0,8,478,121347800,0.393909077873682
2015,0,11,458,121347800,0.377427526498214
2015,0,0,6008,121347800,4.95105803319055
2015,0,10,526,121347800,0.433464801174805
2015,0,9,471,121347800,0.388140534892268
2015,1,1,2,1331825,0.150169879676384
2015,1,6,2,1331825,0.150169879676384
2015,1,8,3,1331825,0.225254819514576
2015,1,12,2,1331825,0.150169879676384
2015,1,2,4,1331825,0.300339759352768
2015,1,0,39,1331825,2.92831265368949
2015,1,5,7,1331825,0.525594578867344
2015,1,4,5,1331825,0.37542469919096
2015,1,3,1,1331825,0.0750849398381919
2015,1,9,2,1331825,0.150169879676384
2015,1,11,4,1331825,0.300339759352768
2015,1,10,6,1331825,0.450509639029152
2015,1,7,1,1331825,0.0750849398381919
2015,10,12,5,1781575,0.280650547970195
2015,10,1,4,1781575,0.224520438376156
2015,10,7,3,1781575,0.168390328782117
2015,10,0,62,1781575,3.48006679483042
2015,10,2,5,1781575,0.280650547970195
2015,10,11,7,1781575,0.392910767158273
2015,10,10,3,1781575,0.168390328782117
2015,10,4,8,1781575,0.449040876752312
2015,10,8,9,1781575,0.505170986346351
2015,10,5,4,1781575,0.224520438376156
2015,10,3,4,1781575,0.224520438376156
2015,10,6,5,1781575,0.280650547970195
2015,10,9,5,1781575,0.280650547970195
2015,11,1,1,5930618,0.0168616491569681
2015,11,6,0,5930618,0
2015,11,9,0,5930618,0
2015,11,8,0,5930618,0
2015,11,12,2,5930618,0.0337232983139363
2015,11,2,0,5930618,0
2015,11,10,1,5930618,0.0168616491569681
2015,11,5,1,5930618,0.0168616491569681
2015,11,0,8,5930618,0.134893193255745
2015,11,3,1,5930618,0.0168616491569681
