"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,32,61931495,0.0516699944026864
2015,0,6,28,61931495,0.0452112451023506
2015,0,12,39,61931495,0.062972805678274
2015,0,3,31,61931495,0.0500553070776024
2015,0,7,33,61931495,0.0532846817277703
2015,0,5,28,61931495,0.0452112451023506
2015,0,4,35,61931495,0.0565140563779382
2015,0,2,30,61931495,0.0484406197525185
2015,0,8,40,61931495,0.064587493003358
2015,0,11,29,61931495,0.0468259324274345
2015,0,0,412,61931495,0.665251177934587
2015,0,10,46,61931495,0.0742756169538617
2015,0,9,41,61931495,0.0662021803284419
2015,1,1,0,676756,0
2015,1,6,0,676756,0
2015,1,8,0,676756,0
2015,1,12,0,676756,0
2015,1,2,0,676756,0
2015,1,0,0,676756,0
2015,1,5,0,676756,0
2015,1,4,0,676756,0
2015,1,3,0,676756,0
2015,1,9,0,676756,0
2015,1,11,0,676756,0
2015,1,10,0,676756,0
2015,1,7,0,676756,0
2015,10,12,0,902020,0
2015,10,1,0,902020,0
2015,10,7,0,902020,0
2015,10,0,2,902020,0.221724573734507
2015,10,2,1,902020,0.110862286867253
2015,10,11,0,902020,0
2015,10,10,1,902020,0.110862286867253
2015,10,4,0,902020,0
2015,10,8,0,902020,0
2015,10,5,0,902020,0
2015,10,3,0,902020,0
2015,10,6,0,902020,0
2015,10,9,0,902020,0
2015,11,1,1,3042095,0.0328720832189659
2015,11,6,1,3042095,0.0328720832189659
2015,11,9,3,3042095,0.0986162496568976
2015,11,8,1,3042095,0.0328720832189659
2015,11,12,0,3042095,0
2015,11,2,0,3042095,0
2015,11,10,2,3042095,0.0657441664379318
2015,11,5,2,3042095,0.0657441664379318
2015,11,0,16,3042095,0.525953331503454
2015,11,3,1,3042095,0.0328720832189659
2015,11,11,1,3042095,0.0328720832189659
2015,11,4,2,3042095,0.0657441664379318
2015,11,7,2,3042095,0.0657441664379318
2015,12,4,0,1844116,0
2015,12,2,1,1844116,0.0542265237110898
2015,12,0,1,1844116,0.0542265237110898
2015,12,1,0,1844116,0
2015,12,3,0,1844116,0
2015,12,7,0,1844116,0
2015,12,9,0,1844116,0
2015,12,5,0,1844116,0
2015,12,11,0,1844116,0
2015,12,10,0,1844116,0
2015,12,12,0,1844116,0
2015,12,6,0,1844116,0
2015,12,8,0,1844116,0
2015,13,8,0,1498359,0
2015,13,10,0,1498359,0
2015,13,0,0,1498359,0
2015,13,12,0,1498359,0
2015,13,1,0,1498359,0
2015,13,7,0,1498359,0
2015,13,2,0,1498359,0
2015,13,9,0,1498359,0
2015,13,4,0,1498359,0
2015,13,11,0,1498359,0
2015,13,6,0,1498359,0
2015,13,3,0,1498359,0
2015,13,5,0,1498359,0
2015,14,0,62,4038200,1.53533752662077
2015,14,1,4,4038200,0.0990540339755337
2015,14,12,5,4038200,0.123817542469417
2015,14,10,8,4038200,0.198108067951067
2015,14,2,5,4038200,0.123817542469417
2015,14,7,5,4038200,0.123817542469417
