"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,55171,121347800,45.4651835467969
2015,0,6,54142,121347800,44.6172077285291
2015,0,12,52270,121347800,43.0745345197853
2015,0,3,56378,121347800,46.4598451723064
2015,0,7,54351,121347800,44.7894399404027
2015,0,5,54041,121347800,44.533975894083
2015,0,4,52897,121347800,43.5912311554062
2015,0,2,52765,121347800,43.4824529163281
2015,0,8,54716,121347800,45.090228253005
2015,0,11,54123,121347800,44.6015502547224
2015,0,0,652647,121347800,537.831753027249
2015,0,10,56102,121347800,46.2323997633249
2015,0,9,55691,121347800,45.8937038825591
2015,1,1,870,1331825,65.323897659227
2015,1,6,850,1331825,63.8221988624632
2015,1,8,908,1331825,68.1771253730783
2015,1,12,858,1331825,64.4228783811687
2015,1,2,861,1331825,64.6481332006833
2015,1,0,10719,1331825,804.83547012558
2015,1,5,952,1331825,71.4808627259587
2015,1,4,873,1331825,65.5491524787416
2015,1,3,1001,1331825,75.1600247780301
2015,1,9,898,1331825,67.4262759746964
2015,1,11,952,1331825,71.4808627259587
2015,1,10,805,1331825,60.4433765697445
2015,1,7,891,1331825,66.900681395829
2015,10,12,757,1781575,42.4904929626875
2015,10,1,880,1781575,49.3944964427543
2015,10,7,872,1781575,48.945455566002
2015,10,0,10363,1781575,581.676325723026
2015,10,2,886,1781575,49.7312771003185
2015,10,11,818,1781575,45.9144296479239
2015,10,10,881,1781575,49.4506265523483
2015,10,4,924,1781575,51.864221264892
2015,10,8,854,1781575,47.9351135933093
2015,10,5,846,1781575,47.486072716557
2015,10,3,838,1781575,47.0370318398047
2015,10,6,927,1781575,52.0326115936741
2015,10,9,880,1781575,49.3944964427543
2015,11,1,2872,5930618,48.4266563788125
2015,11,6,2574,5930618,43.401884930036
2015,11,9,2598,5930618,43.8065645098032
2015,11,8,2671,5930618,45.0374648982619
2015,11,12,2738,5930618,46.1671953917787
2015,11,2,2579,5930618,43.4861931758208
2015,11,10,2858,5930618,48.1905932906149
