"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,870
2016,1,1,848
2017,1,1,1126
2018,1,1,1368
2019,1,1,1217
2020,1,1,1074
2021,1,1,823
2022,1,1,834
2015,2,1,861
2016,2,1,801
2017,2,1,937
2018,2,1,1240
2019,2,1,1030
2020,2,1,1014
2021,2,1,745
2022,2,1,796
2015,3,1,1001
2016,3,1,868
2017,3,1,1075
2018,3,1,1398
2019,3,1,1085
2020,3,1,1052
2021,3,1,845
2022,3,1,893
2015,4,1,873
2016,4,1,980
2017,4,1,1000
2018,4,1,1456
2019,4,1,1131
2020,4,1,670
2021,4,1,808
2022,4,1,866
2015,5,1,952
2016,5,1,1003
2017,5,1,1175
2018,5,1,1415
2019,5,1,1193
2020,5,1,686
2021,5,1,902
2022,5,1,871
2015,6,1,850
2016,6,1,803
2017,6,1,1304
2018,6,1,1347
2019,6,1,1024
2020,6,1,779
2021,6,1,809
2022,6,1,909
2015,7,1,891
2016,7,1,1003
2017,7,1,1313
2018,7,1,1457
2019,7,1,1033
2020,7,1,833
2021,7,1,883
2015,8,1,908
2016,8,1,1055
2017,8,1,1422
2018,8,1,1348
2019,8,1,1088
2020,8,1,857
2021,8,1,872
2015,9,1,898
2016,9,1,935
2017,9,1,1492
2018,9,1,1158
2019,9,1,998
2020,9,1,833
2021,9,1,882
2015,10,1,805
2016,10,1,1067
2017,10,1,1516
2018,10,1,1263
2019,10,1,1108
2020,10,1,933
2021,10,1,835
2015,11,1,952
2016,11,1,1010
2017,11,1,1509
2018,11,1,1073
2019,11,1,1041
2020,11,1,813
2021,11,1,896
2015,12,1,858
2016,12,1,1039
2017,12,1,1336
2018,12,1,1174
2019,12,1,1040
2020,12,1,873
2021,12,1,803
2015,1,2,4222
2016,1,2,4284
2017,1,2,4815
2018,1,2,4166
2019,1,2,3384
2020,1,2,3080
2021,1,2,2351
2022,1,2,2699
2015,2,2,3628
2016,2,2,3875
2017,2,2,4324
2018,2,2,3404
2019,2,2,2852
2020,2,2,2690
2021,2,2,2272
2022,2,2,2534
2015,3,2,4007
2016,3,2,4022
2017,3,2,4813
2018,3,2,3723
2019,3,2,3010
2020,3,2,2966
2021,3,2,2609
2022,3,2,2904
2015,4,2,3824
2016,4,2,4051
2017,4,2,4491
2018,4,2,3671
2019,4,2,3200
2020,4,2,1856
2021,4,2,2543
2022,4,2,2693
2015,5,2,3952
2016,5,2,4086
2017,5,2,4594
2018,5,2,3646
2019,5,2,3244
2020,5,2,1907
2021,5,2,2451
2022,5,2,2921
2015,6,2,4096
2016,6,2,3547
2017,6,2,3986
2018,6,2,3309
2019,6,2,3109
2020,6,2,1982
2021,6,2,2552
2022,6,2,2673
2015,7,2,4050
2016,7,2,3566
2017,7,2,4218
2018,7,2,3029
2019,7,2,3043
2020,7,2,2242
2021,7,2,2680
2015,8,2,4259
2016,8,2,4015
2017,8,2,4189
2018,8,2,3245
2019,8,2,3159
2020,8,2,2171
2021,8,2,2576
2015,9,2,4106
2016,9,2,3999
2017,9,2,4121
2018,9,2,3094
2019,9,2,2808
2020,9,2,2195
2021,9,2,2541
2015,10,2,4288
2016,10,2,4328
2017,10,2,3920
2018,10,2,3166
2019,10,2,3178
2020,10,2,2266
2021,10,2,2654
2015,11,2,4223
2016,11,2,4137
2017,11,2,3923
2018,11,2,3052
2019,11,2,3078
2020,11,2,2314
2021,11,2,2762
2015,12,2,4183
2016,12,2,4798
2017,12,2,3991
2018,12,2,3200
2019,12,2,3115
2020,12,2,2324
2021,12,2,2848
2015,1,3,726
2016,1,3,909
2017,1,3,1007
2018,1,3,919
2019,1,3,808
2020,1,3,670
2021,1,3,371
2022,1,3,416
2015,2,3,715
2016,2,3,886
2017,2,3,810
2018,2,3,825
2019,2,3,729
2020,2,3,565
2021,2,3,412
2022,2,3,443
2015,3,3,720
2016,3,3,833
2017,3,3,836
2018,3,3,793
2019,3,3,772
2020,3,3,574
2021,3,3,448
2022,3,3,461
2015,4,3,710
2016,4,3,806
2017,4,3,834
2018,4,3,809
2019,4,3,719
2020,4,3,358
2021,4,3,408
2022,4,3,449
2015,5,3,705
2016,5,3,834
2017,5,3,954
2018,5,3,899
2019,5,3,692
2020,5,3,337
2021,5,3,362
2022,5,3,459
2015,6,3,701
2016,6,3,938
2017,6,3,1021
2018,6,3,888
2019,6,3,665
2020,6,3,459
2021,6,3,405
2022,6,3,500
2015,7,3,691
2016,7,3,981
2017,7,3,919
2018,7,3,837
2019,7,3,707
2020,7,3,495
2021,7,3,373
2015,8,3,735
2016,8,3,1117
2017,8,3,929
2018,8,3,858
2019,8,3,785
2020,8,3,383
2021,8,3,466
2015,9,3,890
2016,9,3,999
2017,9,3,888
2018,9,3,870
2019,9,3,702
2020,9,3,475
2021,9,3,403
2015,10,3,822
2016,10,3,952
2017,10,3,950
2018,10,3,955
