"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,90,121347800,0.0741669811896054
2015,0,6,107,121347800,0.0881762998587531
2015,0,12,103,121347800,0.0848799895836595
2015,0,3,76,121347800,0.0626298952267779
2015,0,7,79,121347800,0.0651021279330981
2015,0,5,96,121347800,0.0791114466022458
2015,0,4,85,121347800,0.0700465933457384
2015,0,2,108,121347800,0.0890003774275265
2015,0,8,64,121347800,0.0527409644014972
2015,0,11,91,121347800,0.0749910587583788
2015,0,0,1062,121347800,0.875170378037344
2015,0,10,84,121347800,0.0692225157769651
2015,0,9,79,121347800,0.0651021279330981
2015,1,1,0,1331825,0
2015,1,6,0,1331825,0
2015,1,8,1,1331825,0.0750849398381919
2015,1,12,0,1331825,0
2015,1,2,0,1331825,0
2015,1,0,5,1331825,0.37542469919096
2015,1,5,0,1331825,0
2015,1,4,1,1331825,0.0750849398381919
2015,1,3,1,1331825,0.0750849398381919
2015,1,9,0,1331825,0
2015,1,11,1,1331825,0.0750849398381919
2015,1,10,1,1331825,0.0750849398381919
2015,1,7,0,1331825,0
2015,10,12,1,1781575,0.056130109594039
2015,10,1,0,1781575,0
2015,10,7,1,1781575,0.056130109594039
2015,10,0,6,1781575,0.336780657564234
2015,10,2,0,1781575,0
2015,10,11,1,1781575,0.056130109594039
2015,10,10,0,1781575,0
2015,10,4,0,1781575,0
2015,10,8,0,1781575,0
2015,10,5,1,1781575,0.056130109594039
2015,10,3,0,1781575,0
2015,10,6,1,1781575,0.056130109594039
2015,10,9,1,1781575,0.056130109594039
2015,11,1,0,5930618,0
2015,11,6,0,5930618,0
2015,11,9,1,5930618,0.0168616491569681
2015,11,8,1,5930618,0.0168616491569681
2015,11,12,0,5930618,0
2015,11,2,1,5930618,0.0168616491569681
2015,11,10,1,5930618,0.0168616491569681
2015,11,5,1,5930618,0.0168616491569681
2015,11,0,8,5930618,0.134893193255745
2015,11,3,0,5930618,0
2015,11,11,1,5930618,0.0168616491569681
2015,11,4,2,5930618,0.0337232983139363
2015,11,7,0,5930618,0
2015,12,4,8,3576592,0.223676617293781
2015,12,2,10,3576592,0.279595771617227
2015,12,0,81,3576592,2.26472575009954
2015,12,1,11,3576592,0.307555348778949
2015,12,3,5,3576592,0.139797885808613
2015,12,7,9,3576592,0.251636194455504
2015,12,9,6,3576592,0.167757462970336
2015,12,5,3,3576592,0.083878731485168
2015,12,11,4,3576592,0.111838308646891
2015,12,10,6,3576592,0.167757462970336
2015,12,12,9,3576592,0.251636194455504
2015,12,6,7,3576592,0.195717040132059
2015,12,8,3,3576592,0.083878731485168
2015,13,8,3,2899495,0.103466293268311
2015,13,10,0,2899495,0
2015,13,0,19,2899495,0.655286524032633
2015,13,12,1,2899495,0.0344887644227702
2015,13,1,3,2899495,0.103466293268311
2015,13,7,1,2899495,0.0344887644227702
2015,13,2,3,2899495,0.103466293268311
2015,13,9,2,2899495,0.0689775288455403
2015,13,4,1,2899495,0.0344887644227702
2015,13,11,1,2899495,0.0344887644227702
2015,13,6,2,2899495,0.0689775288455403
2015,13,3,1,2899495,0.0344887644227702
2015,13,5,1,2899495,0.0344887644227702
2015,14,0,20,7963314,0.251151718995383
2015,14,1,1,7963314,0.0125575859497692
2015,14,12,2,7963314,0.0251151718995383
2015,14,10,2,7963314,0.0251151718995383
2015,14,2,3,7963314,0.0376727578493075
2015,14,7,0,7963314,0
2015,14,8,3,7963314,0.0376727578493075
2015,14,3,2,7963314,0.0251151718995383
2015,14,4,1,7963314,0.0125575859497692
2015,14,9,0,7963314,0
2015,14,5,2,7963314,0.0251151718995383
2015,14,11,2,7963314,0.0251151718995383
2015,14,6,2,7963314,0.0251151718995383
2015,15,1,18,16453628,0.109398364907727
2015,15,9,13,16453628,0.0790099302111364
2015,15,12,19,16453628,0.115476051847046
2015,15,3,15,16453628,0.0911653040897728
2015,15,10,7,16453628,0.0425438085752273
2015,15,0,163,16453628,0.990662971108864
2015,15,2,15,16453628,0.0911653040897728
2015,15,7,6,16453628,0.0364661216359091
2015,15,4,10,16453628,0.0607768693931819
2015,15,6,18,16453628,0.109398364907727
2015,15,8,8,16453628,0.0486214955145455
2015,15,5,14,16453628,0.0850876171504546
2015,15,11,20,16453628,0.121553738786364
2015,16,0,31,4644732,0.667422792100814
2015,16,1,2,4644732,0.0430595349742461
2015,16,6,4,4644732,0.0861190699484922
2015,16,8,1,4644732,0.021529767487123
2015,16,12,3,4644732,0.0645893024613691
2015,16,2,2,4644732,0.0430595349742461
2015,16,9,3,4644732,0.0645893024613691
2015,16,5,3,4644732,0.0645893024613691
2015,16,4,3,4644732,0.0645893024613691
2015,16,3,3,4644732,0.0645893024613691
2015,16,10,3,4644732,0.0645893024613691
2015,16,11,3,4644732,0.0645893024613691
2015,16,7,1,4644732,0.021529767487123
2015,17,8,2,1930505,0.103599835276262
2015,17,3,2,1930505,0.103599835276262
2015,17,0,32,1930505,1.65759736442019
2015,17,5,2,1930505,0.103599835276262
2015,17,6,3,1930505,0.155399752914393
2015,17,12,4,1930505,0.207199670552524
2015,17,2,3,1930505,0.155399752914393
2015,17,1,3,1930505,0.155399752914393
2015,17,7,4,1930505,0.207199670552524
2015,17,10,2,1930505,0.103599835276262
2015,17,9,2,1930505,0.103599835276262
2015,17,4,1,1930505,0.051799917638131
2015,17,11,4,1930505,0.207199670552524
2015,18,6,1,1195482,0.0836482690663682
2015,18,8,1,1195482,0.0836482690663682
2015,18,12,1,1195482,0.0836482690663682
2015,18,1,3,1195482,0.250944807199105
