"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,1855
2016,1,1,1786
2017,1,1,2109
2018,1,1,2982
2019,1,1,2916
2020,1,1,3254
2021,1,1,2789
2022,1,1,2882
2015,2,1,1816
2016,2,1,1738
2017,2,1,1933
2018,2,1,2864
2019,2,1,2768
2020,2,1,3183
2021,2,1,2730
2022,2,1,2995
2015,3,1,2009
2016,3,1,1888
2017,3,1,2212
2018,3,1,3327
2019,3,1,3236
2020,3,1,3429
2021,3,1,3263
2022,3,1,3456
2015,4,1,1978
2016,4,1,2050
2017,4,1,2021
2018,4,1,3427
2019,4,1,3421
2020,4,1,2085
2021,4,1,2979
2022,4,1,3308
2015,5,1,1936
2016,5,1,2027
2017,5,1,2805
2018,5,1,3572
2019,5,1,3497
2020,5,1,2305
2021,5,1,3149
2022,5,1,3534
2015,6,1,1979
2016,6,1,1716
2017,6,1,3339
2018,6,1,3075
2019,6,1,3261
2020,6,1,2951
2021,6,1,3041
2022,6,1,3471
2015,7,1,1973
2016,7,1,2049
2017,7,1,2962
2018,7,1,3742
2019,7,1,3392
2020,7,1,2924
2021,7,1,2931
2015,8,1,1963
2016,8,1,2065
2017,8,1,3339
2018,8,1,3486
2019,8,1,3464
2020,8,1,2730
2021,8,1,3039
2015,9,1,1919
2016,9,1,2045
2017,9,1,3384
2018,9,1,3118
2019,9,1,3302
2020,9,1,2735
2021,9,1,3069
2015,10,1,1914
2016,10,1,2286
2017,10,1,3409
2018,10,1,3390
2019,10,1,3306
2020,10,1,2917
2021,10,1,3039
2015,11,1,1941
2016,11,1,2025
2017,11,1,3220
2018,11,1,2960
2019,11,1,3054
2020,11,1,2473
2021,11,1,2844
2015,12,1,1929
2016,12,1,2054
2017,12,1,2815
2018,12,1,2891
2019,12,1,2812
2020,12,1,2640
2021,12,1,2772
2015,1,2,9261
2016,1,2,9055
2017,1,2,8963
2018,1,2,8901
2019,1,2,8180
2020,1,2,8384
2021,1,2,7558
2022,1,2,7578
2015,2,2,8620
2016,2,2,9288
2017,2,2,8244
2018,2,2,7750
2019,2,2,7181
2020,2,2,8313
2021,2,2,7362
2022,2,2,7443
2015,3,2,10065
2016,3,2,9319
2017,3,2,9963
2018,3,2,9003
2019,3,2,8180
2020,3,2,8862
2021,3,2,8048
2022,3,2,9072
2015,4,2,9504
2016,4,2,9374
2017,4,2,9669
2018,4,2,9238
2019,4,2,8535
2020,4,2,5718
2021,4,2,8102
2022,4,2,8780
2015,5,2,9945
2016,5,2,9600
2017,5,2,9830
2018,5,2,9182
