"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,37
2016,1,1,70
2017,1,1,68
2018,1,1,95
2019,1,1,183
2020,1,1,336
2021,1,1,206
2022,1,1,232
2015,2,1,50
2016,2,1,102
2017,2,1,50
2018,2,1,101
2019,2,1,184
2020,2,1,322
2021,2,1,310
2022,2,1,223
2015,3,1,43
2016,3,1,107
2017,3,1,69
2018,3,1,128
2019,3,1,222
2020,3,1,314
2021,3,1,235
2022,3,1,259
2015,4,1,44
2016,4,1,63
2017,4,1,52
2018,4,1,108
2019,4,1,192
2020,4,1,144
2021,4,1,54
2022,4,1,155
2015,5,1,53
2016,5,1,61
2017,5,1,62
2018,5,1,106
2019,5,1,184
2020,5,1,244
2021,5,1,59
2022,5,1,162
2015,6,1,53
2016,6,1,18
2017,6,1,51
2018,6,1,119
2019,6,1,209
2020,6,1,276
2021,6,1,39
2022,6,1,173
2015,7,1,51
2016,7,1,41
2017,7,1,67
2018,7,1,176
2019,7,1,238
2020,7,1,207
2021,7,1,39
2015,8,1,81
2016,8,1,45
2017,8,1,73
2018,8,1,187
2019,8,1,285
2020,8,1,58
2021,8,1,37
2015,9,1,45
2016,9,1,43
2017,9,1,78
2018,9,1,215
2019,9,1,265
2020,9,1,55
2021,9,1,44
2015,10,1,58
2016,10,1,62
2017,10,1,90
2018,10,1,166
2019,10,1,94
2020,10,1,57
2021,10,1,29
2015,11,1,45
2016,11,1,58
2017,11,1,62
2018,11,1,136
2019,11,1,75
2020,11,1,40
2021,11,1,31
2015,12,1,54
2016,12,1,47
2017,12,1,120
2018,12,1,179
2019,12,1,75
2020,12,1,46
2021,12,1,30
2015,1,2,0
2016,1,2,0
2017,1,2,308
2018,1,2,639
2019,1,2,847
2020,1,2,930
2021,1,2,1132
2022,1,2,731
2015,2,2,0
2016,2,2,0
2017,2,2,365
2018,2,2,682
2019,2,2,733
2020,2,2,952
2021,2,2,979
2022,2,2,801
2015,3,2,0
2016,3,2,0
2017,3,2,394
2018,3,2,702
2019,3,2,801
2020,3,2,911
2021,3,2,689
2022,3,2,844
2015,4,2,0
2016,4,2,0
2017,4,2,461
2018,4,2,748
2019,4,2,899
2020,4,2,788
2021,4,2,623
2022,4,2,796
2015,5,2,0
2016,5,2,0
2017,5,2,463
2018,5,2,679
2019,5,2,919
2020,5,2,782
2021,5,2,527
2022,5,2,860
2015,6,2,0
2016,6,2,72
2017,6,2,467
2018,6,2,612
2019,6,2,810
2020,6,2,833
2021,6,2,467
2022,6,2,829
2015,7,2,0
2016,7,2,214
2017,7,2,532
2018,7,2,615
2019,7,2,872
2020,7,2,866
2021,7,2,531
2015,8,2,0
2016,8,2,264
2017,8,2,588
2018,8,2,611
2019,8,2,892
2020,8,2,785
2021,8,2,561
2015,9,2,0
2016,9,2,285
2017,9,2,522
2018,9,2,565
2019,9,2,688
2020,9,2,627
2021,9,2,542
2015,10,2,0
2016,10,2,318
2017,10,2,601
2018,10,2,681
2019,10,2,980
2020,10,2,700
2021,10,2,678
2015,11,2,0
2016,11,2,287
2017,11,2,526
2018,11,2,679
2019,11,2,899
2020,11,2,687
2021,11,2,632
2015,12,2,0
2016,12,2,323
2017,12,2,518
2018,12,2,642
2019,12,2,967
2020,12,2,1055
2021,12,2,690
2015,1,3,57
2016,1,3,24
2017,1,3,89
2018,1,3,33
2019,1,3,55
2020,1,3,33
2021,1,3,35
2022,1,3,38
2015,2,3,58
2016,2,3,36
2017,2,3,107
2018,2,3,39
2019,2,3,35
2020,2,3,49
2021,2,3,44
2022,2,3,54
2015,3,3,89
2016,3,3,30
2017,3,3,79
2018,3,3,44
2019,3,3,62
2020,3,3,51
2021,3,3,42
2022,3,3,48
2015,4,3,87
2016,4,3,43
2017,4,3,56
2018,4,3,49
2019,4,3,53
2020,4,3,25
2021,4,3,38
2022,4,3,45
2015,5,3,75
2016,5,3,44
2017,5,3,56
2018,5,3,44
2019,5,3,42
2020,5,3,29
2021,5,3,47
2022,5,3,40
2015,6,3,34
2016,6,3,15
2017,6,3,55
2018,6,3,88
2019,6,3,48
2020,6,3,39
2021,6,3,30
2022,6,3,47
2015,7,3,31
2016,7,3,28
2017,7,3,28
2018,7,3,53
2019,7,3,36
2020,7,3,42
2021,7,3,40
2015,8,3,29
2016,8,3,49
2017,8,3,52
2018,8,3,70
2019,8,3,38
2020,8,3,23
2021,8,3,28
2015,9,3,17
2016,9,3,32
2017,9,3,45
2018,9,3,63
2019,9,3,37
2020,9,3,40
2021,9,3,38
2015,10,3,56
2016,10,3,55
2017,10,3,32
2018,10,3,69
2019,10,3,32
2020,10,3,37
2021,10,3,39
2015,11,3,44
2016,11,3,40
2017,11,3,26
2018,11,3,47
2019,11,3,27
2020,11,3,46
2021,11,3,32
2015,12,3,27
2016,12,3,66
2017,12,3,19
2018,12,3,42
2019,12,3,14
2020,12,3,22
2021,12,3,22
2015,1,4,2
2016,1,4,5
2017,1,4,7
2018,1,4,4
