"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,1354,121347800,1.11580102811917
2015,0,6,1466,121347800,1.20809771582179
2015,0,12,1494,121347800,1.23117188774745
2015,0,3,1379,121347800,1.13640296733851
2015,0,7,1539,121347800,1.26825537834225
2015,0,5,1601,121347800,1.3193481876062
2015,0,4,1442,121347800,1.18831985417123
2015,0,2,1388,121347800,1.14381966545747
2015,0,8,1674,121347800,1.37950585012666
2015,0,11,1581,121347800,1.30286663623074
2015,0,0,17885,121347800,14.7386273175121
2015,0,10,1464,121347800,1.20644956068425
2015,0,9,1503,121347800,1.23858858586641
2015,1,1,7,1331825,0.525594578867344
2015,1,6,4,1331825,0.300339759352768
2015,1,8,3,1331825,0.225254819514576
2015,1,12,2,1331825,0.150169879676384
2015,1,2,1,1331825,0.0750849398381919
2015,1,0,41,1331825,3.07848253336587
2015,1,5,4,1331825,0.300339759352768
2015,1,4,4,1331825,0.300339759352768
2015,1,3,4,1331825,0.300339759352768
2015,1,9,4,1331825,0.300339759352768
2015,1,11,3,1331825,0.225254819514576
2015,1,10,2,1331825,0.150169879676384
2015,1,7,3,1331825,0.225254819514576
2015,10,12,22,1781575,1.23486241106886
2015,10,1,17,1781575,0.954211863098663
2015,10,7,22,1781575,1.23486241106886
2015,10,0,236,1781575,13.2467058641932
2015,10,2,20,1781575,1.12260219188078
2015,10,11,14,1781575,0.785821534316546
2015,10,10,14,1781575,0.785821534316546
2015,10,4,28,1781575,1.57164306863309
2015,10,8,15,1781575,0.841951643910585
2015,10,5,21,1781575,1.17873230147482
2015,10,3,31,1781575,1.74003339741521
2015,10,6,19,1781575,1.06647208228674
2015,10,9,13,1781575,0.729691424722507
2015,11,1,66,5930618,1.1128688443599
2015,11,6,91,5930618,1.5344100732841
2015,11,9,94,5930618,1.584995020755
2015,11,8,101,5930618,1.70302656485378
2015,11,12,75,5930618,1.26462368677261
2015,11,2,72,5930618,1.21403873930171
2015,11,10,97,5930618,1.63557996822591
2015,11,5,71,5930618,1.19717709014474
2015,11,0,957,5930618,16.1365982432185
2015,11,3,67,5930618,1.12973049351686
2015,11,11,85,5930618,1.43324017834229
2015,11,4,75,5930618,1.26462368677261
2015,11,7,63,5930618,1.06228389688899
2015,12,4,194,3576592,5.4241579693742
2015,12,2,140,3576592,3.91434080264117
2015,12,0,2016,3576592,56.3665075580329
2015,12,1,138,3576592,3.85842164831773
2015,12,3,155,3576592,4.33373446006701
2015,12,7,179,3576592,5.00476431194836
2015,12,9,163,3576592,4.5574110773608
2015,12,5,175,3576592,4.89292600330147
2015,12,11,173,3576592,4.83700684897802
2015,12,10,167,3576592,4.66924938600769
2015,12,12,192,3576592,5.36823881505075
2015,12,6,141,3576592,3.9423003798029
2015,12,8,199,3576592,5.56395585518281
2015,13,8,16,2899495,0.551820230764323
2015,13,10,20,2899495,0.689775288455403
2015,13,0,158,2899495,5.44922477879769
2015,13,12,14,2899495,0.482842701918782
2015,13,1,5,2899495,0.172443822113851
2015,13,7,14,2899495,0.482842701918782
2015,13,2,19,2899495,0.655286524032633
2015,13,9,22,2899495,0.758752817300944
2015,13,4,7,2899495,0.241421350959391
2015,13,11,13,2899495,0.448353937496012
2015,13,6,7,2899495,0.241421350959391
2015,13,3,13,2899495,0.448353937496012
2015,13,5,8,2899495,0.275910115382161
2015,14,0,1078,7963314,13.5370776538511
2015,14,1,93,7963314,1.16785549332853
2015,14,12,109,7963314,1.36877686852484
2015,14,10,95,7963314,1.19297066522807
2015,14,2,76,7963314,0.954376532182456
2015,14,7,98,7963314,1.23064342307738
2015,14,8,97,7963314,1.21808583712761
2015,14,3,70,7963314,0.879031016483841
2015,14,4,95,7963314,1.19297066522807
2015,14,9,88,7963314,1.10506756357969
2015,14,5,78,7963314,0.979491704081994
2015,14,11,100,7963314,1.25575859497692
2015,14,6,79,7963314,0.992049290031763
2015,15,1,199,16453628,1.20945970092432
2015,15,9,220,16453628,1.33709112665
2015,15,12,198,16453628,1.203382013985
2015,15,3,194,16453628,1.17907126622773
2015,15,10,177,16453628,1.07575058825932
2015,15,0,2302,16453628,13.9908353343105
2015,15,2,167,16453628,1.01497371886614
2015,15,7,164,16453628,0.996740658048182
