"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,38,121347800,0.031314947613389
2015,0,6,36,121347800,0.0296667924758422
2015,0,12,31,121347800,0.0255464046319752
2015,0,3,45,121347800,0.0370834905948027
2015,0,7,35,121347800,0.0288427149070688
2015,0,5,35,121347800,0.0288427149070688
2015,0,4,49,121347800,0.0403798008698963
2015,0,2,32,121347800,0.0263704822007486
2015,0,8,25,121347800,0.0206019392193348
2015,0,11,41,121347800,0.0337871803197091
2015,0,0,415,121347800,0.341992191040958
2015,0,10,24,121347800,0.0197778616505614
2015,0,9,24,121347800,0.0197778616505614
2015,1,1,1,1331825,0.0750849398381919
2015,1,6,0,1331825,0
2015,1,8,0,1331825,0
2015,1,12,0,1331825,0
2015,1,2,0,1331825,0
2015,1,0,2,1331825,0.150169879676384
2015,1,5,0,1331825,0
2015,1,4,0,1331825,0
2015,1,3,0,1331825,0
2015,1,9,0,1331825,0
2015,1,11,0,1331825,0
2015,1,10,0,1331825,0
2015,1,7,1,1331825,0.0750849398381919
2015,10,12,0,1781575,0
2015,10,1,0,1781575,0
2015,10,7,2,1781575,0.112260219188078
2015,10,0,2,1781575,0.112260219188078
2015,10,2,0,1781575,0
2015,10,11,0,1781575,0
2015,10,10,0,1781575,0
2015,10,4,0,1781575,0
2015,10,8,0,1781575,0
2015,10,5,0,1781575,0
2015,10,3,0,1781575,0
2015,10,6,0,1781575,0
2015,10,9,0,1781575,0
2015,11,1,2,5930618,0.0337232983139363
2015,11,6,0,5930618,0
2015,11,9,1,5930618,0.0168616491569681
2015,11,8,0,5930618,0
2015,11,12,1,5930618,0.0168616491569681
2015,11,2,1,5930618,0.0168616491569681
2015,11,10,0,5930618,0
2015,11,5,0,5930618,0
2015,11,0,9,5930618,0.151754842412713
2015,11,3,1,5930618,0.0168616491569681
2015,11,11,1,5930618,0.0168616491569681
2015,11,4,2,5930618,0.0337232983139363
2015,11,7,0,5930618,0
2015,12,4,0,3576592,0
2015,12,2,0,3576592,0
2015,12,0,3,3576592,0.083878731485168
2015,12,1,0,3576592,0
2015,12,3,1,3576592,0.0279595771617227
2015,12,7,0,3576592,0
2015,12,9,1,3576592,0.0279595771617227
2015,12,5,0,3576592,0
2015,12,11,0,3576592,0
2015,12,10,0,3576592,0
2015,12,12,0,3576592,0
2015,12,6,0,3576592,0
2015,12,8,1,3576592,0.0279595771617227
2015,13,8,0,2899495,0
2015,13,10,1,2899495,0.0344887644227702
2015,13,0,2,2899495,0.0689775288455403
2015,13,12,0,2899495,0
2015,13,1,0,2899495,0
2015,13,7,0,2899495,0
2015,13,2,0,2899495,0
2015,13,9,0,2899495,0
2015,13,4,0,2899495,0
2015,13,11,0,2899495,0
2015,13,6,1,2899495,0.0344887644227702
2015,13,3,0,2899495,0
2015,13,5,0,2899495,0
2015,14,0,0,7963314,0
2015,14,1,0,7963314,0
2015,14,12,0,7963314,0
2015,14,10,0,7963314,0
2015,14,2,0,7963314,0
2015,14,7,0,7963314,0
2015,14,8,0,7963314,0
2015,14,3,0,7963314,0
2015,14,4,0,7963314,0
2015,14,9,0,7963314,0
2015,14,5,0,7963314,0
2015,14,11,0,7963314,0
2015,14,6,0,7963314,0
2015,15,1,3,16453628,0.0182330608179546
2015,15,9,4,16453628,0.0243107477572727
2015,15,12,4,16453628,0.0243107477572727
2015,15,3,5,16453628,0.0303884346965909
2015,15,10,2,16453628,0.0121553738786364
2015,15,0,46,16453628,0.279573599208637
2015,15,2,2,16453628,0.0121553738786364
2015,15,7,1,16453628,0.00607768693931819
2015,15,4,5,16453628,0.0303884346965909
2015,15,6,6,16453628,0.0364661216359091
2015,15,8,3,16453628,0.0182330608179546
2015,15,5,7,16453628,0.0425438085752273
2015,15,11,4,16453628,0.0243107477572727
2015,16,0,8,4644732,0.172238139896984
2015,16,1,0,4644732,0
2015,16,6,1,4644732,0.021529767487123
2015,16,8,0,4644732,0
2015,16,12,2,4644732,0.0430595349742461
2015,16,2,0,4644732,0
2015,16,9,4,4644732,0.0861190699484922
2015,16,5,0,4644732,0
2015,16,4,0,4644732,0
2015,16,3,0,4644732,0
2015,16,10,1,4644732,0.021529767487123
2015,16,11,0,4644732,0
2015,16,7,0,4644732,0
2015,17,8,1,1930505,0.051799917638131
2015,17,3,0,1930505,0
2015,17,0,18,1930505,0.932398517486357
2015,17,5,1,1930505,0.051799917638131
2015,17,6,0,1930505,0
2015,17,12,3,1930505,0.155399752914393
2015,17,2,1,1930505,0.051799917638131
2015,17,1,0,1930505,0
2015,17,7,5,1930505,0.258999588190655
2015,17,10,1,1930505,0.051799917638131
2015,17,9,3,1930505,0.155399752914393
2015,17,4,1,1930505,0.051799917638131
2015,17,11,2,1930505,0.103599835276262
2015,18,6,0,1195482,0
2015,18,8,0,1195482,0
2015,18,12,0,1195482,0
2015,18,1,0,1195482,0
2015,18,9,0,1195482,0
2015,18,7,0,1195482,0
2015,18,5,0,1195482,0
2015,18,10,0,1195482,0
2015,18,0,0,1195482,0
2015,18,4,0,1195482,0
2015,18,2,0,1195482,0
2015,18,3,0,1195482,0
2015,18,11,0,1195482,0
2015,19,1,0,5205425,0
2015,19,8,0,5205425,0
2015,19,0,0,5205425,0
2015,19,10,0,5205425,0
2015,19,6,0,5205425,0
2015,19,3,0,5205425,0
2015,19,12,0,5205425,0
2015,19,7,0,5205425,0
2015,19,2,0,5205425,0
2015,19,9,0,5205425,0
2015,19,11,0,5205425,0
2015,19,4,0,5205425,0
2015,19,5,0,5205425,0
2015,2,0,26,3357794,0.774317900383407
2015,2,9,0,3357794,0
2015,2,5,5,3357794,0.14890728853527
2015,2,11,4,3357794,0.119125830828216
2015,2,2,2,3357794,0.0595629154141082
2015,2,1,1,3357794,0.0297814577070541
2015,2,6,3,3357794,0.0893443731211623
2015,2,12,3,3357794,0.0893443731211623
2015,2,3,1,3357794,0.0297814577070541
2015,2,7,2,3357794,0.0595629154141082
2015,2,4,0,3357794,0
