"ANIO","CVE_ENT","CVE_MES","DELITOS","POB","INDICADOR"
2015,0,1,129151,121347800,106.430442084653
2015,0,6,142407,121347800,117.354414336313
2015,0,12,130698,121347800,107.705290083545
2015,0,3,141273,121347800,116.419910373324
2015,0,7,139820,121347800,115.222525665896
2015,0,5,141518,121347800,116.621809377673
2015,0,4,137645,121347800,113.430156953814
2015,0,2,130311,121347800,107.38637206443
2015,0,8,139416,121347800,114.889598328111
2015,0,11,138634,121347800,114.245169669331
2015,0,0,1657804,121347800,1366.15908982281
2015,0,10,145745,121347800,120.105185260878
2015,0,9,141186,121347800,116.34821562484
2015,1,1,1855,1331825,139.282563399846
2015,1,6,1979,1331825,148.593095939782
2015,1,8,1963,1331825,147.391736902371
2015,1,12,1929,1331825,144.838848947872
2015,1,2,1816,1331825,136.354250746157
2015,1,0,23212,1331825,1742.87162352411
2015,1,5,1936,1331825,145.36444352674
2015,1,4,1978,1331825,148.518010999944
2015,1,3,2009,1331825,150.845644134928
2015,1,9,1919,1331825,144.08799954949
2015,1,11,1941,1331825,145.739868225931
2015,1,10,1914,1331825,143.712574850299
2015,1,7,1973,1331825,148.142586300753
2015,10,12,2192,1781575,123.037200230133
2015,10,1,1911,1781575,107.264639434208
2015,10,7,2765,1781575,155.199753027518
2015,10,0,29088,1781575,1632.71262787141
2015,10,2,2077,1781575,116.582237626819
2015,10,11,2451,1781575,137.57489861499
2015,10,10,2818,1781575,158.174648836002
2015,10,4,2442,1781575,137.069727628643
2015,10,8,2551,1781575,143.187909574393
2015,10,5,2533,1781575,142.177567601701
2015,10,3,2106,1781575,118.210010805046
2015,10,6,2632,1781575,147.734448451511
2015,10,9,2610,1781575,146.499586040442
2015,11,1,7617,5930618,128.435181628626
2015,11,6,8017,5930618,135.179841291413
2015,11,9,8184,5930618,137.995736700627
2015,11,8,7888,5930618,133.004688550165
2015,11,12,8415,5930618,141.890777655887
2015,11,2,7469,5930618,125.939657553395
2015,11,10,8611,5930618,145.195660890653
2015,11,5,7974,5930618,134.454790377664
2015,11,0,95782,5930618,1615.04247955272
2015,11,3,8002,5930618,134.926916554059
2015,11,11,8049,5930618,135.719414064436
2015,11,4,7584,5930618,127.878747206446
2015,11,7,7972,5930618,134.42106707935
2015,12,4,3281,3576592,91.7353726676121
2015,12,2,3010,3576592,84.1583272567852
2015,12,0,36783,3576592,1028.43712673964
2015,12,1,3179,3576592,88.8834957971164
2015,12,3,3202,3576592,89.526566071836
2015,12,7,3146,3576592,87.9608297507795
2015,12,9,2472,3576592,69.1160747437784
2015,12,5,3286,3576592,91.8751705534207
2015,12,11,2912,3576592,81.4182886949364
2015,12,10,3142,3576592,87.8489914421326
2015,12,12,2912,3576592,81.4182886949364
2015,12,6,3197,3576592,89.3867681860274
2015,12,8,3044,3576592,85.1089528802838
2015,13,8,2462,2899495,84.9113380088602
2015,13,10,1639,2899495,56.5270848889203
2015,13,0,27504,2899495,948.578976683871
2015,13,12,2485,2899495,85.7045795905839
2015,13,1,2257,2899495,77.8411413021923
2015,13,7,1917,2899495,66.1149613984504
2015,13,2,2848,2899495,98.2240010760494
2015,13,9,2703,2899495,93.2231302347478
2015,13,4,2282,2899495,78.7033604127615
2015,13,11,2626,2899495,90.5674953741945
2015,13,6,1876,2899495,64.7009220571168
2015,13,3,1800,2899495,62.0797759609863
2015,13,5,2609,2899495,89.9811863790074
2015,14,0,95331,7963314,1197.12722617744
2015,14,1,6981,7963314,87.6645075153385
2015,14,12,8529,7963314,107.103650565581
2015,14,10,9820,7963314,123.315494026733
2015,14,2,6821,7963314,85.6552937633754
2015,14,7,7949,7963314,99.820250714715
2015,14,8,7869,7963314,98.8156438387335
2015,14,3,7568,7963314,95.035810467853
2015,14,4,7141,7963314,89.6737212673015
2015,14,9,8559,7963314,107.480378144074
2015,14,5,7533,7963314,94.596294959611
2015,14,11,8814,7963314,110.682562561265
2015,14,6,7747,7963314,97.2836183528616
2015,15,1,26880,16453628,163.368224928873
2015,15,9,26964,16453628,163.878750631776
2015,15,12,25649,16453628,155.886592306572
2015,15,3,28637,16453628,174.046720881255
2015,15,10,27553,16453628,167.458508239034
2015,15,0,323525,16453628,1966.28366704292
2015,15,2,26096,16453628,158.603318368447
2015,15,7,26615,16453628,161.757637889954
2015,15,4,27168,16453628,165.118598767396
2015,15,6,27230,16453628,165.495415357634
2015,15,8,26633,16453628,161.867036254861
2015,15,5,27017,16453628,164.200868039559
2015,15,11,27083,16453628,164.601995377554
2015,16,0,30899,4644732,665.248285584615
2015,16,1,2604,4644732,56.0635145364684
2015,16,6,2577,4644732,55.4822108143161
2015,16,8,2617,4644732,56.343401513801
2015,16,12,2756,4644732,59.3360391945111
2015,16,2,2503,4644732,53.889008020269
2015,16,9,2644,4644732,56.9247052359533
2015,16,5,2483,4644732,53.4584126705265
2015,16,4,2391,4644732,51.4776740617112
2015,16,3,2379,4644732,51.2193168518657
2015,16,10,2682,4644732,57.742836400464
2015,16,11,2698,4644732,58.087312680258
2015,16,7,2565,4644732,55.2238536044706
2015,17,8,3896,1930505,201.812479118158
2015,17,3,4858,1930505,251.64399988604
2015,17,0,49245,1930505,2550.88694408976
2015,17,5,4045,1930505,209.53066684624
2015,17,6,4330,1930505,224.293643373107
2015,17,12,3616,1930505,187.308502179482
2015,17,2,4371,1930505,226.41743999627
2015,17,1,3916,1930505,202.848477470921
2015,17,7,4084,1930505,211.550863634127
2015,17,10,4177,1930505,216.368255974473
2015,17,9,3869,1930505,200.413881341929
2015,17,4,4270,1930505,221.185648314819
2015,17,11,3813,1930505,197.513085954193
2015,18,6,721,1195482,60.3104019968515
2015,18,8,514,1195482,42.9952103001133
2015,18,12,330,1195482,27.6039287919015
2015,18,1,537,1195482,44.9191204886397
2015,18,9,466,1195482,38.9800933849276
2015,18,7,470,1195482,39.3146864611931
2015,18,5,662,1195482,55.3751541219358
2015,18,10,487,1195482,40.7367070353213
2015,18,0,6651,1195482,556.344637560415
2015,18,4,636,1195482,53.2002991262102
2015,18,2,660,1195482,55.207857583803
2015,18,3,699,1195482,58.4701400773914
2015,18,11,469,1195482,39.2310381921267
2015,19,1,5376,5205425,103.276869804099
2015,19,8,6038,5205425,115.99437125691
2015,19,0,72350,5205425,1389.89611799229
2015,19,10,6789,5205425,130.421627436761
2015,19,6,6405,5205425,123.044708165039
2015,19,3,5741,5205425,110.288785257688
2015,19,12,5542,5205425,106.465850530936
2015,19,7,6151,5205425,118.165183438432
2015,19,2,5455,5205425,104.794517258437
2015,19,9,6909,5205425,132.726914709174
2015,19,11,6049,5205425,116.205689256881
2015,19,4,5752,5205425,110.500103257659
2015,19,5,6143,5205425,118.011497620271
2015,2,0,119944,3357794,3572.1071632149
2015,2,9,10465,3357794,311.662954904321
2015,2,5,9945,3357794,296.176596896653
2015,2,11,9731,3357794,289.803364947343
2015,2,2,8620,3357794,256.716165434806
2015,2,1,9261,3357794,275.806079825028
2015,2,6,10651,3357794,317.202306037833
2015,2,12,9525,3357794,283.66838465969
2015,2,3,10065,3357794,299.750371821499
2015,2,7,10695,3357794,318.512690176944
2015,2,4,9504,3357794,283.042974047842
2015,2,10,10621,3357794,316.308862306622
2015,2,8,10861,3357794,323.456412156315
2015,20,1,0,4019224,0
2015,20,6,0,4019224,0
2015,20,8,1473,4019224,36.6488655521563
2015,20,3,0,4019224,0
2015,20,10,0,4019224,0
2015,20,2,1427,4019224,35.5043660169227
2015,20,12,0,4019224,0
2015,20,0,6127,4019224,152.442362008189
2015,20,4,0,4019224,0
2015,20,11,1626,4019224,40.4555705280422
2015,20,7,0,4019224,0
2015,20,5,1601,4019224,39.8335599110674
2015,20,9,0,4019224,0
2015,21,0,64399,6274482,1026.36361057375
2015,21,1,5013,6274482,79.8950415349028
2015,21,6,5615,6274482,89.4894590501654
2015,21,8,5201,6274482,82.8913048120944
2015,21,3,5666,6274482,90.3022751519568
2015,21,2,5089,6274482,81.1062969022781
2015,21,12,4591,6274482,73.169386731845
2015,21,5,5695,6274482,90.7644647000342
2015,21,4,5564,6274482,88.6766429483741
2015,21,10,5730,6274482,91.3222796718518
2015,21,9,5756,6274482,91.7366565080592
2015,21,11,5193,6274482,82.7638042471076
2015,21,7,5286,6274482,84.24599831508
2015,22,1,2584,2069556,124.857698946054
2015,22,8,2737,2069556,132.250589015228
2015,22,7,2696,2069556,130.269487754861
2015,22,2,2371,2069556,114.565636300733
2015,22,11,2930,2069556,141.576260801834
2015,22,4,2655,2069556,128.288386494494
2015,22,3,2738,2069556,132.298908558164
2015,22,6,2744,2069556,132.588825815779
2015,22,12,2809,2069556,135.729596106605
2015,22,0,32817,2069556,1585.70244052347
2015,22,9,2842,2069556,137.324141023485
2015,22,10,2967,2069556,143.364083890458
2015,22,5,2744,2069556,132.588825815779
2015,23,1,2445,1524873,160.341221859132
2015,23,6,2714,1524873,177.982035225229
2015,23,3,2812,1524873,184.408799945963
2015,23,8,2870,1524873,188.212395392928
2015,23,10,2668,1524873,174.965390560394
2015,23,12,2492,1524873,163.42344575581
2015,23,0,32496,1524873,2131.06271800996
2015,23,2,2246,1524873,147.290954722131
2015,23,7,3042,1524873,199.492023270135
2015,23,11,2681,1524873,175.817920574369
2015,23,9,2866,1524873,187.950078465551
2015,23,4,2789,1524873,182.900477613546
2015,23,5,2871,1524873,188.277974624772
2015,24,7,1757,2758239,63.7000637000637
2015,24,6,1841,2758239,66.7454850721783
2015,24,2,1740,2758239,63.0837284223738
2015,24,1,1672,2758239,60.6183873116144
2015,24,10,1655,2758239,60.0020520339245
2015,24,8,1594,2758239,57.790496037508
2015,24,5,1879,2758239,68.1231756928968
2015,24,12,1761,2758239,63.8450837654025
2015,24,3,2316,2758239,83.9666178311597
2015,24,11,1747,2758239,63.3375135367167
2015,24,0,21419,2758239,776.546194872888
2015,24,4,1801,2758239,65.2952844187904
2015,24,9,1656,2758239,60.0383070502592
2015,25,1,2419,3015790,80.2111552860113
2015,25,5,2449,3015790,81.2059195103107
2015,25,0,25812,3015790,855.895138587236
2015,25,8,2137,3015790,70.8603715775966
2015,25,7,2143,3015790,71.0593244224565
2015,25,11,1766,3015790,58.5584540037602
2015,25,12,1425,3015790,47.2513006542233
2015,25,9,2017,3015790,66.8813146803988
2015,25,4,2402,3015790,79.6474555589083
2015,25,6,2134,3015790,70.7608951551666
2015,25,2,2293,3015790,76.0331455439537
2015,25,10,2163,3015790,71.7225005719894
2015,25,3,2464,3015790,81.7033016224604
2015,26,0,28659,2884754,993.464260730724
2015,26,3,2764,2884754,95.8140624815842
2015,26,10,2625,2884754,90.9956273567868
2015,26,1,1921,2884754,66.591466724719
2015,26,6,2635,2884754,91.342277365765
2015,26,12,2419,2884754,83.8546371718351
2015,26,4,2491,2884754,86.3505172364784
2015,26,2,2369,2884754,82.1213871269439
2015,26,9,2429,2884754,84.2012871808133
2015,26,5,2570,2884754,89.0890523074065
2015,26,8,1956,2884754,67.8047417561428
2015,26,11,2318,2884754,80.3534720811549
2015,26,7,2162,2884754,74.9457319410945
2015,27,7,5331,2426269,219.720072259094
2015,27,3,4673,2426269,192.600243419011
2015,27,12,4586,2426269,189.014490973589
2015,27,1,4313,2426269,177.762647093129
2015,27,6,5118,2426269,210.941161099614
2015,27,5,4864,2426269,200.472412580798
2015,27,2,4288,2426269,176.732258459388
2015,27,10,4885,2426269,201.337939033141
2015,27,4,4878,2426269,201.049430215693
